id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32324379,"Blueground | Kendall Sq, gym, doorman nr mit",107434423,Blueground,,East Cambridge,42.36624,-71.084097,Entire home/apt,358,32,0,,,169,243,0,
32441363,(1) N. Cambridge Private Bedroom Full Bed,519702802,Antonio,,North Cambridge,42.39328,-71.12981,Private room,99,1,444,2025-09-27,5.53,2,333,71,
32791973,"4 beds, walk to subway: Harvard,MIT,Kendall,Boston",246448509,Emily,,Wellington-Harrington,42.37236,-71.08974,Entire home/apt,,91,0,,,2,0,0,
33028188,"Blueground | Kendall Sq, gym, nr mit, mgh & river",107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,267,32,2,2021-09-01,0.03,169,282,0,
33183552,"Blueground | Kendall Sq, gym, nr mit, mgh & river",107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,,32,0,,,169,332,0,
33325791,3 Bed 2 Bath w/ Free Parking near Kendall Square,43450256,Steve,,East Cambridge,42.37048,-71.07871,Entire home/apt,341,4,267,2025-09-07,3.38,83,314,51,
33337073,3 Bed 2 Bath Tourist House near Kendall Square,43450256,Steve,,East Cambridge,42.37086,-71.07704,Entire home/apt,372,4,227,2025-09-05,2.87,83,317,37,
33340302,New 3 Bed 2 Bath Tourist House near Kendall Square,43450256,Steve,,East Cambridge,42.37051,-71.07894,Entire home/apt,363,4,261,2025-08-31,3.31,83,336,38,
33341290,"Blueground | Porter Sq, in harvard sq",107434423,Blueground,,Agassiz,42.38547,-71.1168,Entire home/apt,354,32,1,2024-07-08,0.07,169,271,0,
33374476,"*2 bed, walk to subway:Harvard,MIT,Kendall,Boston*",246448509,Emily,,Wellington-Harrington,42.37125,-71.08957,Entire home/apt,,91,0,,,2,0,0,
33483321,Studio 3-minute walk to subway,51692157,Tina,,North Cambridge,42.38902,-71.12048,Entire home/apt,,91,0,,,1,0,0,
33551653,"Blueground | Kendall Sq, gym, nr mit & river",107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,263,32,0,,,169,0,0,
33596731,"Blueground | Kendall Sq, gym, nr mit & river",107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,311,32,1,2023-01-15,0.03,169,214,0,
33789540,Best Location at Harvard University! Free Parking！,254916391,Tang,,Mid-Cambridge,42.37227,-71.11513,Entire home/apt,334,1,186,2025-09-07,2.38,3,241,30,C0201270491
34057584,Cozy first floor apartment in a two family house,176766689,Carol,,Cambridgeport,42.35815,-71.10907,Entire home/apt,,4,18,2024-09-04,0.24,1,0,0,C0183840491
34397691,Morning Light Apartment,168035838,Kathleen,,The Port,42.36762,-71.0956,Entire home/apt,248,91,0,,,1,270,0,
34664077,Luxury studio w/ parking by MIT/Harvard/BU/Fenway,66604416,Quinn Taylor,,Cambridgeport,42.3557,-71.11004,Entire home/apt,201,1,540,2025-09-22,6.96,4,65,110,STR-218159
34785693,2 BR  APT w/ parking near MIT/Harvard/BU/Fenway,66604416,Quinn Taylor,,Cambridgeport,42.35717,-71.11185,Entire home/apt,318,1,611,2025-09-21,7.89,4,148,91,STR-146980
34944649,Luxury 1BR APT w/ parking by MIT/Harvard/BU/Fenway,66604416,Quinn Taylor,,Cambridgeport,42.35771,-71.10983,Entire home/apt,276,1,496,2025-09-05,6.42,4,61,86,STR-218159
35060349,"Parking, Pets, and a Yard, Oh My!",11982406,Maggie,,Cambridgeport,42.36137,-71.111,Entire home/apt,,90,20,2023-07-09,0.27,2,55,0,
35187780,Franklin Blue House,66084479,Catherine,,Riverside,42.36555,-71.108,Entire home/apt,,91,0,,,1,0,0,SRT-5014
35333477,Room For Two Short Walk To Harvard (RM 8),51079261,Riverside,,Mid-Cambridge,42.36913,-71.1067,Private room,,1,7,2020-09-20,0.09,23,0,0,10863
35635231,"Nice Apartment,  Porter Square Harvard",8029934,Stuart,,Neighborhood Nine,42.38482,-71.11952,Entire home/apt,,2,57,2025-08-25,0.75,2,1,8,STR-213949
36351801,Your perfect Stay by HARVARD & MIT,102134649,Cambridge,,Mid-Cambridge,42.37124,-71.10991,Entire home/apt,305,30,13,2023-04-18,0.17,2,180,0,C0191060491
36622151,"Spacious 5BR w/ AC, Near Harvard & Davis Sq",266312920,STARS Of,,North Cambridge,42.39446,-71.1343,Entire home/apt,381,2,16,2025-06-20,0.52,6,344,4,
36769756,4BR 2BA Bright Spacious Home in Cambridge,250597522,Cynthia,,North Cambridge,42.39188,-71.13099,Entire home/apt,409,1,218,2025-09-21,3.12,2,330,37,STR-59484
36795444,"Modern Cambridge 2BR: Harvard,MIT,Kendall,Boston",45016784,Yan,,East Cambridge,42.36989,-71.08437,Entire home/apt,,32,2,2021-05-22,0.04,2,0,0,
37010665,Harvard Studio-Parking-Laundry-Kitchen-Queen Bed,14438532,Ana & Ryan,,Neighborhood Nine,42.38376,-71.11991,Entire home/apt,,4,46,2024-07-01,0.62,1,0,0,STR-52032
37142306,"Blueground | Harvard Sq, w/d nr red line",107434423,Blueground,,Mid-Cambridge,42.37025,-71.10849,Entire home/apt,346,32,0,,,169,282,0,
37460222,"Clean, Bright Space near Harvard/MIT",41097805,J. Michael,,Mid-Cambridge,42.37163,-71.11448,Private room,,1,11,2020-02-19,0.15,1,0,0,
37684393,Alluring Private Room near Harvard,56845328,John Carl,,Strawberry Hill,42.37703,-71.14923,Private room,29,91,0,,,1,113,0,
37696869,"Blueground | Harvard Sq, balcony, nr campus",107434423,Blueground,,Mid-Cambridge,42.37025,-71.10849,Entire home/apt,256,32,1,2020-11-01,0.02,169,301,0,
37931659,"Sunny, private, quiet, modern apt near Harvard/MIT",37435930,Daniel J,,Riverside,42.36636734008789,-71.10938262939453,Entire home/apt,195,2,251,2025-08-11,3.44,1,302,34,STR-54175
37967448,900 sqf bright 2br condo with decks & free laundry,888464,Kshitij,,Cambridgeport,42.35793,-71.11339,Entire home/apt,,7,0,,,1,0,0,
38820941,MIT and Harvard  very close separate  bathroom,222601907,Angel,,Wellington-Harrington,42.36927795410156,-71.09526062011719,Private room,6864,20,3,2019-11-07,0.04,8,196,0,C0229240491
38822539,"Harvard Law - 2 Bed 1 Bath, Private Top Floor",140051530,Beth,,Agassiz,42.38101,-71.11977,Private room,458,3,98,2025-06-18,1.36,4,167,8,
38823935,Harvard Law - Light-filled spacious King,140051530,Beth,,Agassiz,42.3809,-71.11797,Private room,210,2,136,2025-09-12,1.87,4,150,19,
38849280,New 3 Bedroom In The Heart of Inman Square,297454277,Michael,,Mid-Cambridge,42.37259,-71.09983,Entire home/apt,386,2,185,2025-09-14,2.54,1,223,31,STR-61356
38915459,"Blueground | Kendall Sq, nr mass general hospital",107434423,Blueground,,East Cambridge,42.36683499999999,-71.08217200000001,Entire home/apt,366,32,1,2025-08-05,0.55,169,243,1,
38960050,Harvard Law - Cozy Room for One,140051530,Beth,,Neighborhood Nine,42.38118,-71.12003,Private room,150,2,222,2025-09-20,3.05,4,144,34,
38960329,Harvard Law- Simple Sunlit Queen,140051530,Beth,,Agassiz,42.38093,-71.11777,Private room,165,2,195,2025-09-21,2.69,4,151,28,
39608947,Upstairs in Central Square,1152305,Greg,,Cambridgeport,42.364,-71.1018,Entire home/apt,141,30,10,2023-02-05,0.15,2,188,0,
39728795,Single Family in Safe & Convenient Neighborhood,26102116,Bob,,North Cambridge,42.39382,-71.13219,Entire home/apt,283,3,124,2025-09-16,1.77,1,101,21,STR-110932
39747612,"Blueground | Central Sq, nr central sq & mbta",107434423,Blueground,,The Port,42.36475,-71.09994,Entire home/apt,,32,1,2023-09-08,0.04,169,241,0,
39860203,"Harvard  & MIT    two rooms , private bathroom",222601907,Angel,,Wellington-Harrington,42.37052,-71.0959,Private room,135,7,23,2025-09-01,0.33,8,218,11,C0229240491
39864033,Harvard &MIT private bathroom inside .Not sharing,222601907,Angel,,Wellington-Harrington,42.3697094,-71.09511309999999,Private room,121,7,29,2025-09-22,1.68,8,335,23,C0229240491
39896724,The NERDpartment in the heart of Cambridge,30490587,Young Jae,,East Cambridge,42.370282103573736,-71.08637326391181,Entire home/apt,315,2,105,2025-09-14,1.52,1,339,14,C0222850491
39908320,"Blueground | Harvard Sq, laundry, nr university",107434423,Blueground,,Agassiz,42.385473,-71.116802,Entire home/apt,246,32,1,2024-08-12,0.07,169,134,0,
39908417,"Blueground | Harvard Sq, w/d, nr university",107434423,Blueground,,Mid-Cambridge,42.37025,-71.10849,Entire home/apt,239,32,0,,,169,287,0,
39918089,Bright Spacious 3BR 2BA Home in Cambridge,250597522,Cynthia,,North Cambridge,42.39382,-71.13258,Entire home/apt,384,1,134,2025-08-24,1.92,2,329,23,STR-59485
40552282,"Spacious 5BR w/ AC, Near Harvard & Davis Sq",96961013,Ronalyn,,North Cambridge,42.39327,-71.13524,Entire home/apt,386,2,17,2025-09-12,0.32,1,345,4,
40886365,Beautiful West Cambridge Apartment,78446576,Jessica,,Neighborhood Nine,42.3858,-71.13694,Entire home/apt,215,2,169,2025-09-26,2.74,1,137,47,STR-77762
41056764,Kool furnished bedroom NR central Sq Redline,320886104,Chet,,Cambridgeport,42.36265,-71.102,Private room,,4,0,,,1,0,0,
41223077,"Blueground | Kendall Sq, office nook, gym, nr MIT",107434423,Blueground,,Area 2/MIT,42.362881,-71.08784,Entire home/apt,340,32,0,,,169,273,0,
41260843,MIT school   private bathroom inside .not sharing.,222601907,Angel,,Wellington-Harrington,42.3697094,-71.09511309999999,Private room,134,7,13,2025-09-27,0.99,8,127,11,STR-254710
41273964,Fully Furnished Private Room in Harvard Square,1000338,Mark,,Agassiz,42.37736,-71.11155,Private room,,91,0,,,2,282,0,
41288141,"Studio, Fully Furnished in Harvard Square",1000338,Mark,,Agassiz,42.3782,-71.11088,Private room,,91,0,,,2,301,0,
41379642,Sweet Sunny Spacious Cambridgeport 1 BR,3406022,Jamie,,Cambridgeport,42.35748,-71.11263,Entire home/apt,,5,0,,,1,0,0,Str-63143
41720730,"Giant, Quiet & Bright Room in Cambridge!",9420910,Alyona,,Strawberry Hill,42.37809,-71.15523,Private room,94,1,2,2024-10-09,0.15,2,269,1,C0493270491
41740740,"MIT Harvard private bathroom inside ,Not sharing",222601907,Angel,,Wellington-Harrington,42.36982,-71.0951,Private room,158,7,36,2025-09-09,1.93,8,282,16,STR-62909
41998167,"Near MIT, MGH & Harvard; Walk to Transit & Shops",43450256,Steve,,East Cambridge,42.36899,-71.07841,Entire home/apt,193,30,14,2024-02-29,0.21,83,178,0,
42089092,"Blueground | Central Sq, gym, doorman, nr t stop",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,327,32,0,,,169,317,0,
42116124,Cambridge Harvard - MIT Great Room 1,19788941,Jean Manuel,,The Port,42.36916,-71.09616,Private room,130,3,3,2025-04-22,0.05,7,298,1,
42357558,"Near MIT, MGH & Harvard; Walk to Transit & Shops",43450256,Steve,,East Cambridge,42.36754,-71.07835,Entire home/apt,253,30,14,2024-09-30,0.24,83,270,1,
42946067,"Blueground | Central Sq, gym, doorman, nr t",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,,32,1,2023-02-12,0.03,169,334,0,
44110709,3 Bed 2 Bath Tourist House near Kendall Square,43450256,Steve,,East Cambridge,42.3725,-71.07752,Entire home/apt,,1,4,2024-08-10,0.07,83,0,0,
44208136,51 Belmont Street,254174375,John,,Strawberry Hill,42.37538,-71.15105,Entire home/apt,215,1,184,2025-09-19,3.12,1,38,37,99597
44378435,zzz 4 Bed 2 Bath w/ Free Parking Near MIT,43450256,Steve,,East Cambridge,42.36689,-71.07855,Entire home/apt,,30,0,,,83,0,0,
44473794,Cambridge Harvard - MIT Great Room 1,19788941,Jean Manuel,,The Port,42.3644,-71.09606,Private room,79,91,12,2025-07-22,0.26,7,256,5,
44952411,"#2B, MIT & Harvard amazing location!",81038,Louisa,,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,226,28,22,2025-06-27,0.37,9,159,3,
45034782,"#3B, Walk to Harvard & MIT-amazing location!",81038,Louisa,,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,265,28,16,2025-08-03,0.28,9,166,4,
45054510,"Walk to Harvard, MIT, Central, Subway, Book Now",7848820,Kris,,Mid-Cambridge,42.37092,-71.10102,Private room,131,30,11,2025-08-24,0.22,16,240,3,STR-148098
45085165,Venn | Harvard Square | Charming Room,277913848,Venn,,Mid-Cambridge,42.3765,-71.10685,Private room,126,3,26,2025-08-31,0.51,5,237,5,
45164940,Penthouse Condo with Roof Deck,44939469,Jennifer,,Cambridgeport,42.3593,-71.11183,Private room,60,90,7,2025-08-10,0.17,3,301,3,
45518727,Apartment with Sunshine close to MIT/Kendall Sq,88868429,Huaweilang,,Wellington-Harrington,42.37076,-71.09082,Entire home/apt,128,300,1,2020-10-26,0.02,1,365,0,
45609348,Penthouse Condo with RoofDeck,44939469,Jennifer,,Cambridgeport,42.35823,-71.11371,Private room,96,31,12,2025-05-29,0.21,3,197,3,
45609891,Spacious apartment only minutes to Harvard Square,34301226,Lisa,,Mid-Cambridge,42.37212,-71.10981,Entire home/apt,,3,3,2023-10-16,0.05,1,0,0,C0277150491
45731984,Modern 1 Bedroom Convenient to MIT & Harvard,22541573,Furnished Quarters,,East Cambridge,42.363108529612816,-71.08417844898196,Entire home/apt,,30,2,2025-08-06,0.17,12,359,2,
45732245,Two Bedroom Apartment in Heart of Kendall Square,22541573,Furnished Quarters,,East Cambridge,42.36458,-71.08227,Entire home/apt,305,30,0,,,12,321,0,
45732348,Modern Two Bedroom with Views in Cambridge,22541573,Furnished Quarters,,East Cambridge,42.36469,-71.08441,Entire home/apt,309,93,0,,,12,255,0,
45765398,"Spacious apt, 1400 sq ft - 2BR/1BA in Inman Square",1662428,Dhruva,,Wellington-Harrington,42.37277,-71.09463,Entire home/apt,,90,2,2020-12-31,0.03,1,0,0,
45989120,Spacious 2+ BR w/ backyard & walking to Harvard Sq,6627181,Carrie,,Neighborhood Nine,42.38691,-71.12202,Entire home/apt,,3,32,2025-07-04,0.89,1,0,6,
46108993,Best value & most Attractive Apt at Harvard square,373675137,Liya,,West Cambridge,42.37468175547767,-71.12210951128354,Entire home/apt,,29,40,2025-08-24,0.67,97,12,5,
46128218,Amazing affordable 2 bed Apt close Harvard and MIT,373675137,Liya,,North Cambridge,42.39272051306391,-71.13214136834335,Entire home/apt,135,29,54,2025-09-13,0.90,97,214,24,
46244582,Most attractive apt in harvard square,373675137,Liya,,West Cambridge,42.37322242624265,-71.12368416653392,Entire home/apt,175,29,47,2025-08-23,0.80,97,162,12,
46331232,TOP Cambridge 3bed APT 1parking&private entrance,373675137,Liya,,North Cambridge,42.393678222519654,-71.1321033842697,Entire home/apt,120,29,14,2025-05-26,0.24,97,192,2,
46344417,Charming 3 bed apt with porch at Harvard Square,373675137,Liya,,West Cambridge,42.37407229389279,-71.12395523700508,Entire home/apt,174,29,47,2025-09-21,0.79,97,216,19,
46345955,Best value 3 bedroom apt in Cambridge close To T,373675137,Liya,,North Cambridge,42.39255,-71.13198,Entire home/apt,117,29,27,2025-09-15,0.46,97,227,15,
46434097,Spacious Cambridge 2 bed apt free parking & Train,373675137,Liya,,North Cambridge,42.39437303610396,-71.1326055956302,Entire home/apt,105,29,22,2025-06-30,0.44,97,213,8,
46471580,Sweet Cambridge Home 2 bed APT close Harvard & MIT,373675137,Liya,,North Cambridge,42.39221643117695,-71.13329646187074,Entire home/apt,110,29,51,2025-09-21,0.86,97,178,26,
46601955,1 Bedroom Close to MIT/Harvard with Views,22541573,Furnished Quarters,,Cambridgeport,42.36063,-71.10224,Entire home/apt,225,30,4,2025-04-28,0.07,12,321,1,
46602118,1 Bedroom with Views - walk to MIT/Harvard!,22541573,Furnished Quarters,,Cambridgeport,42.36072,-71.10138,Entire home/apt,235,30,1,2022-01-22,0.02,12,349,0,
46602128,One Bedroom with Panoramic Views of Cambridge,22541573,Furnished Quarters,,Cambridgeport,42.359,-71.09996,Entire home/apt,225,30,2,2021-10-24,0.04,12,322,0,
46659113,Venn | Harvard sq | Room with Private Bath,277913848,Venn,,Mid-Cambridge,42.37622,-71.10556,Private room,104,5,24,2025-08-29,0.42,5,350,7,
46659757,Venn | Harvard Square | Spacious Room,277913848,Venn,,Mid-Cambridge,42.37682,-71.10854,Private room,133,7,22,2025-08-29,0.43,5,346,6,
46660426,"Blueground | Central Sq, doorman, nr t stop",107434423,Blueground,,The Port,42.36380330000001,-71.0997926,Entire home/apt,242,32,2,2024-05-31,0.05,169,226,0,
46660436,"Blueground | Central Sq, doorman, nr charles river",107434423,Blueground,,The Port,42.36380330000001,-71.0997926,Entire home/apt,,32,0,,,169,121,0,
46660463,"Blueground | Central Sq, gym, doorman, w/d, roof",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,237,32,4,2025-08-05,0.07,169,286,1,
46660483,"Blueground | Central Sq, gym, doorman, roof",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,279,32,1,2025-04-09,0.17,169,240,1,
46660533,"Blueground | Central Sq, gym, w/d, doorman, nr t",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,,32,0,,,169,0,0,
46712324,For Best 3 bed 1 bath 1 porch 1 parking harvard sq,373675137,Liya,,West Cambridge,42.37277,-71.12266,Entire home/apt,175,29,11,2023-07-07,0.19,97,161,0,
46777895,Comfortable 1 bed 1 bath 1 parking in Cambridge,373675137,Liya,,North Cambridge,42.39261,-71.13423,Private room,234,10,6,2021-02-28,0.10,97,90,0,
46780054,Private apartment with newly renovated kitchen,45011296,Lance,,Mid-Cambridge,42.36829,-71.10591,Private room,413,1,35,2024-04-17,0.62,11,236,0,135558
46816839,"Walk to Harvard, MIT, Central, Subway, Book Now!!😍",7848820,Kris,,Mid-Cambridge,42.3709,-71.10104,Private room,184,2,46,2025-09-27,1.11,16,338,18,STR-148098
46819186,"Sunny Quiet 2 BR MIT, Hrvrd, BU, Fenway, Longwood",28692801,Abraham,,Cambridgeport,42.35615,-71.11088,Entire home/apt,240,1,32,2025-09-18,0.79,1,52,15,173814
46819851,Wonderful 3 bed 1 bath home in Harvard square,373675137,Liya,,West Cambridge,42.3732734574033,-71.1239283637122,Entire home/apt,160,29,37,2025-09-01,0.63,97,210,9,
46820093,Marvelous 4 bed 1 bath 1 free parking Harvard SQ,373675137,Liya,,West Cambridge,42.37475117418044,-71.12255925275531,Entire home/apt,170,29,12,2025-03-16,0.21,97,162,1,
46822729,"1 Bedroom near MIT, Panoramic Cambridge Views",22541573,Furnished Quarters,,Cambridgeport,42.35918,-71.10225,Entire home/apt,230,30,0,,,12,359,0,
46830770,"Walk to Harvard, MIT, Central, Subway, Book Now",7848820,Kris,,Mid-Cambridge,42.370998,-71.101067,Private room,234,2,62,2025-09-16,1.39,16,337,35,STR-148098
46831036,"Walk to Harvard, MIT, Central, Subway, Book Now!!🍀",7848820,Kris,,Mid-Cambridge,42.3709,-71.10104,Private room,170,2,91,2025-09-19,1.99,16,342,34,STR-148098
46831184,"Walk to Harvard, MIT, Central, Subway, Book Now!",7848820,Kris,,Mid-Cambridge,42.3709,-71.10104,Private room,170,2,70,2025-09-19,1.20,16,340,31,STR-148098
46903645,Most popular 3 bed rooms in Harvard Sq,373675137,Liya,,West Cambridge,42.37330155527035,-71.1222299102432,Entire home/apt,170,29,6,2024-02-05,0.11,97,216,0,
46956721,"Blueground | Porter Sq, elevator, by davis station",107434423,Blueground,,North Cambridge,42.3980055,-71.13021660000001,Entire home/apt,253,32,3,2024-02-24,0.06,169,365,0,
47092360,"Blueground | Central Sq, w/d, doorman, nr t",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,,32,0,,,169,281,0,
47092403,"Blueground | Central Sq, w/d, gym, nr t & harvard",107434423,Blueground,,The Port,42.36376,-71.10031,Entire home/apt,,32,0,,,169,297,0,
47223523,Private studio with own entrance in Harvard/MIT,45011296,Lance,,Mid-Cambridge,42.37043,-71.10384,Private room,377,1,42,2024-07-20,0.75,11,245,0,135558
47296747,Central Square - Between Harvard & MIT,74045635,Ian,,Cambridgeport,42.36187,-71.10282,Private room,,1,141,2024-01-15,2.47,2,0,0,C0286570491
47500936,The Ambiente@Cambridge,270651080,Lanray,,Wellington-Harrington,42.37258,-71.09725,Entire home/apt,,30,0,,,2,0,0,ROC12582184003
47538101,SoloPrivate Space,270651080,Lanray,,Wellington-Harrington,42.37285,-71.09933,Entire home/apt,,30,8,2021-05-06,0.14,2,0,0,C1223654272
47757097,Hotel: Contemporary Room near T #2,162885740,Hong,,North Cambridge,42.39443,-71.12707,Private room,184,1,233,2025-09-07,5.13,23,176,48,
47770402,Best Harvard SQ Monthly Rent Deal For Students,373675137,Liya,,West Cambridge,42.372902463171464,-71.12210190276787,Entire home/apt,178,29,21,2025-08-13,0.41,97,162,3,
47936576,Modern Suite in Kendall/MIT,38551452,Xiaoguang,,East Cambridge,42.37066,-71.08264,Private room,184,2,35,2025-08-31,0.93,4,154,16,STR-183734
47966548,Hotel - Contemporary Room - Near T #4,162885740,Hong,,North Cambridge,42.39243,-71.12569,Private room,,1,69,2024-06-24,1.51,23,226,0,
48107460,I2 Private Room by Kendall Sq,218493228,John,,The Port,42.37015,-71.09747,Private room,,30,49,2025-03-08,0.88,4,335,3,
48121941,A+ Heart of Harvard Square 2 bed Apt,373675137,Liya,,West Cambridge,42.37310718758956,-71.1223878093101,Entire home/apt,141,29,36,2025-09-22,0.65,97,231,22,
48178756,"Blueground | Porter Sq, close to harvard sq",107434423,Blueground,,Agassiz,42.38516049999999,-71.1170372,Entire home/apt,229,32,0,,,169,87,0,
48178779,"Blueground | Porter Sq, close to harvard sq",107434423,Blueground,,Agassiz,42.385091,-71.11703080000001,Entire home/apt,254,32,1,2023-02-03,0.03,169,291,0,
48178816,"Blueground | Porter Sq, close to harvard sq",107434423,Blueground,,Agassiz,42.38544,-71.11667,Entire home/apt,309,32,2,2022-04-28,0.04,169,282,0,
48178837,"Blueground | Porter Sq, close to harvard sq",107434423,Blueground,,Agassiz,42.38544,-71.11667,Entire home/apt,246,32,0,,,169,317,0,
48282995,Private 1BR in Central Cambridge MIT/Havard 3A,389667772,David Sungeun,,The Port,42.36482,-71.09912,Private room,79,1,340,2025-09-01,6.61,2,217,56,STR-109785
48286373,Cambridge Room – Kendall Sq MIT Harvard Nearby 3B,389667772,David Sungeun,,The Port,42.36457,-71.09875,Private room,77,1,329,2025-09-06,6.42,2,193,59,STR-109785
48456676,"Blueground | Porter Sq, close to harvard sq",107434423,Blueground,,Agassiz,42.38516049999999,-71.1170372,Entire home/apt,281,32,0,,,169,121,0,
48606573,(SQ) Large room with private bath in Harvard/MIT,45011296,Lance,,Mid-Cambridge,42.36979,-71.10409,Private room,258,1,58,2025-08-30,1.06,11,232,14,
48643097,Large bedroom on quiet street near Porter Square,9793577,Catalina,,Neighborhood Nine,42.38788,-71.1237,Private room,77,5,18,2025-09-21,0.35,4,221,12,
48926497,"Blueground | Central Sq, doorman, nr t stop",107434423,Blueground,,The Port,42.36380330000001,-71.0997926,Entire home/apt,236,32,1,2021-12-21,0.02,169,292,0,
48926609,"Blueground | Central Sq, doorman, nr charles river",107434423,Blueground,,The Port,42.3638,-71.09979,Entire home/apt,,32,1,2022-02-15,0.02,169,268,0,
48926618,"Blueground | Central Sq, doorman, nr charles river",107434423,Blueground,,The Port,42.36380330000001,-71.0997926,Entire home/apt,,32,1,2024-05-01,0.06,169,0,0,
48926831,"Blueground | Central Sq, w/d nr mit & kendall sq",107434423,Blueground,,The Port,42.36475,-71.09994,Entire home/apt,,32,0,,,169,290,0,
48990536,"Blueground | Cambridge, private access to park",107434423,Blueground,,North Cambridge,42.39838,-71.1338,Entire home/apt,337,32,0,,,169,256,0,
49026967,Cambridgeport Charming 2nd floor 2-room studio,394741679,Olena,,Cambridgeport,42.35924941641389,-71.10700902674661,Entire home/apt,92,28,10,2025-08-25,0.53,16,287,5,
49052551,Cambridgeport East Bedroom Private Bathroom,394741679,Olena,,Cambridgeport,42.35961,-71.1061,Private room,63,24,9,2024-12-21,0.18,16,255,2,
49073289,Cambridgeport Quiet Private Bath bedroom,394741679,Olena,,Cambridgeport,42.36113,-71.10733,Private room,66,30,12,2025-03-20,0.24,16,301,7,
49138557,Cambridgeport Upper 1st Floor Comfy 2-room Studio,394741679,Olena,,Cambridgeport,42.36126965444848,-71.10711246413985,Entire home/apt,92,25,13,2024-12-29,0.26,16,139,1,
49214672,CambridgePort Private Bath Upper 1st fl Back Brm,394741679,Olena,,Cambridgeport,42.35945,-71.10787,Private room,75,30,9,2025-09-23,0.20,16,304,2,
49300336,"Blueground | Kendall Sq, courtyard, gym, concierge",107434423,Blueground,,East Cambridge,42.36487379999999,-71.0830428,Entire home/apt,315,32,0,,,169,119,0,
49300348,"Blueground | Kendall Sq, balcony & gym",107434423,Blueground,,East Cambridge,42.36487379999999,-71.0830428,Entire home/apt,315,32,0,,,169,285,0,
49332762,"Blueground | Kendall Sq, courtyard, gym, concierge",107434423,Blueground,,East Cambridge,42.3640528,-71.0835716,Entire home/apt,322,32,1,2025-03-01,0.14,169,121,1,
49380273,Spacious Inman Sq Apt mins from MIT/Harvard,16510817,Jennifer,,Wellington-Harrington,42.37309,-71.09853,Entire home/apt,,3,54,2025-04-24,1.05,1,0,10,
49381421,Cozy apartment in historic Harvard Square,9793577,Catalina,,Riverside,42.36935,-71.11416,Entire home/apt,142,5,10,2025-08-24,0.20,4,162,5,
49382833,"CharlesRiver, Harvard, MIT 3rd floor 2-room Apt",394741679,Olena,,Riverside,42.36603,-71.11141,Entire home/apt,108,24,24,2025-06-20,0.48,16,90,7,
49414402,Private room by Kendall Sq h4,248263858,Ann,,The Port,42.36866,-71.09885,Private room,80,30,186,2025-09-24,3.45,2,339,9,
49633481,Private Bedroom walking distance to Porter Sq  e4,400330361,Ela,,Neighborhood Nine,42.38625,-71.12293,Private room,85,30,129,2025-08-21,2.45,4,83,7,
49709372,Private Bedroom walking distance to Porter Sq f1,400315550,Nikkita,,Neighborhood Nine,42.38601,-71.12113,Private room,70,30,72,2025-05-01,1.37,2,97,2,
49709665,e1 Cozy bedroom walking distance to Porter Sq T,400315550,Nikkita,,Neighborhood Nine,42.38686,-71.12338,Private room,76,30,88,2025-05-24,1.68,2,132,4,
49714855,MIT/Kendall Lux 3BR Apartment,132089155,Marisa,,The Port,42.36752,-71.09641,Entire home/apt,461,30,70,2025-09-01,1.35,1,145,20,STR-114462
49750350,Bedroom with private bath next to Porter SQ e3,400330361,Ela,,Neighborhood Nine,42.38453,-71.12056,Private room,106,30,159,2025-09-11,3.02,4,68,5,
49750659,Private Bedroom with Piano next to Porter SQ d2,400330361,Ela,,North Cambridge,42.38878,-71.11967,Private room,75,30,136,2025-05-14,2.58,4,102,6,
49752174,Private bedroom near Porter Sq d1,401242783,Aleyna,,Neighborhood Nine,42.38728,-71.12012,Private room,70,30,113,2025-09-01,2.16,3,136,8,
49840219,Private bedroom near Porter Sq d2,401242783,Aleyna,,Neighborhood Nine,42.38416,-71.12223,Private room,70,30,108,2025-09-21,2.06,3,104,5,
50042415,Cambridgeport Private Bath Sunny Bedroom 3rd Floor,394741679,Olena,,Cambridgeport,42.3613,-71.10607,Private room,77,28,19,2025-08-24,0.39,16,292,7,
50073035,Cambridgeport Private Bath 3rd Fl Back Bedroom,394741679,Olena,,Cambridgeport,42.35913,-71.10598,Private room,110,30,5,2025-08-12,0.11,16,177,3,
50118419,"800sq ft, 2BR Apartment w/ AC, Laundry, Parking",3917069,Karl,,North Cambridge,42.394745,-71.130684,Entire home/apt,,2,148,2025-09-15,3.44,1,308,43,STR-213923
